STATE,ST_CASE,PERMVIT,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,DRUNK_DR
1,10039,1,97,0,29,1,2015,5,0,50,3,SR-HAMILTON BLVD,,12,30.55205833,-88.10484722,0,99,99,0,55,88,88,1
1,10040,1,73,350,20,1,2015,3,15,57,6,CAHABA RIVER ROAD,,0,33.43090833,-86.71233333,0,99,99,16,1,99,99,0
1,10041,1,49,0,28,1,2015,4,21,10,4,CR-130,,0,34.37793333,-85.75579167,0,99,99,21,30,99,99,1
1,10042,2,125,0,31,1,2015,7,18,45,2,US-SR 6,DALLIE DR,593,33.10606944,-87.46706944,0,99,99,19,5,88,88,0
1,10043,1,49,0,2,2,2015,2,3,20,4,CR-27,,0,34.51033611,-85.76049444,0,88,88,88,88,88,88,0
1,10044,2,73,1716,31,1,2015,7,3,10,1,I-459,,0,33.39817778,-86.77766944,0,99,99,3,14,99,99,0
1,10045,1,97,2100,31,1,2015,7,8,19,1,I-10,,200,30.62482222,-88.12466111,0,8,28,8,36,8,47,0
1,10046,1,17,1830,8,2,2015,1,2,15,1,I-85,,790,32.84681944,-85.18687778,0,99,99,2,24,99,99,0
1,10047,2,97,2100,22,1,2015,5,0,7,6,S WASHINGTON AVE,,0,30.66823611,-88.05437222,0,99,99,0,11,99,99,1
1,10048,4,3,0,24,1,2015,7,22,0,3,SR-3,,311,30.97233333,-87.63953056,0,99,99,22,20,99,99,0
1,10049,2,73,350,29,1,2015,5,1,15,6,5TH ST PRATT,AVE U PRATT,0,33.529925,-86.88088611,0,99,99,1,32,99,99,0
1,10050,1,97,0,31,1,2015,7,4,50,2,US-SR 42,,20,30.84359444,-88.39520556,0,4,56,5,11,88,88,0
1,10051,5,109,3040,1,2,2015,1,14,38,2,US-SR 15,,1045,31.82342222,-85.96047222,0,99,99,14,49,99,99,0
1,10052,1,83,9997,9,2,2015,2,4,40,6,HUNTSVILLE BROWNSFERRY RD,,0,34.72961667,-86.85619722,0,99,99,4,56,88,88,0
1,10053,3,37,0,1,2,2015,1,17,55,2,US-SR 21,,1999,33.03825556,-86.22563056,0,99,99,18,6,99,99,0
1,10054,2,91,0,3,2,2015,3,17,30,2,US-SR 8,,261,32.44788333,-87.96390278,0,17,31,17,43,88,88,0
1,10055,1,89,0,4,2,2015,4,2,25,2,US-SR 1,,3443,34.86791111,-86.57139167,0,88,88,88,88,88,88,0
1,10056,1,3,0,8,2,2015,1,2,20,2,US-SR 16,,764,30.52108889,-87.45863889,0,99,99,2,30,88,88,1
1,10057,3,49,2564,4,2,2015,4,17,52,3,SR-35,,276,34.45239167,-85.78168333,0,99,99,18,0,88,88,0
1,10058,3,13,1460,8,2,2015,1,14,40,3,SR-10,,0,31.82686111,-86.6481,0,14,43,14,46,14,53,0
1,10059,1,33,0,10,2,2015,3,22,0,3,SR-157,,568,34.65318611,-87.52819722,0,22,4,22,13,22,46,0
1,10060,7,49,2564,10,2,2015,3,17,39,6,MCCURDY AVE,,880,34.52244722,-85.82724444,0,17,56,18,25,99,99,0
1,10061,3,93,0,13,2,2015,6,21,33,3,SR-253,,111,34.06270556,-87.82596944,0,99,99,21,48,99,99,1
1,10062,1,89,0,14,2,2015,7,10,55,2,US-SR 2,,1045,34.76898333,-86.49392222,0,99,99,11,1,99,99,0
1,10063,3,45,845,1,2,2015,1,3,55,2,US-SR 12,,1910,31.28759444,-85.70040556,0,99,99,4,33,99,99,1
1,10064,1,97,2100,4,2,2015,4,0,19,1,I-65,,55,30.70100278,-88.12357222,0,99,99,0,26,88,88,0
1,10065,2,3,2650,31,1,2015,7,10,47,4,CR-FOLEY BEACH EXPRESS,,0,30.45154444,-87.680225,0,99,99,10,51,99,99,0
1,10066,2,101,2130,8,2,2015,1,1,41,6,SOUTHERN BLVD,,0,32.32658333,-86.29738611,0,1,46,1,54,2,22,1
1,10067,8,81,200,11,2,2015,4,11,41,3,SR-147,,0,32.61580556,-85.50796111,0,11,55,12,14,99,99,0
1,10068,1,113,0,15,2,2015,1,18,23,4,CR-SHADY GROVE RD,,0,32.27960278,-85.38346389,0,99,99,18,35,88,88,0
1,10069,2,97,2100,15,2,2015,1,21,8,2,US-SR 16,,0,30.68153889,-88.06909444,0,21,10,21,14,88,88,1
1,10070,1,121,0,22,2,2015,1,3,55,4,CR-332,,0,33.493625,-86.16795833,0,99,99,4,15,88,88,1
1,10071,4,95,50,20,2,2015,6,22,30,3,SR-75,,593,34.2806,-86.19588056,0,99,99,22,45,99,99,0
1,10072,1,73,350,22,2,2015,1,19,0,6,HWY 280,,0,33.44571389,-86.73578611,0,99,99,19,10,99,99,0
1,10073,1,73,350,20,2,2015,6,23,0,6,BANKHEAD HWY,,0,33.53994444,-86.87020833,0,99,99,23,8,88,88,0
1,10074,4,73,1710,16,2,2015,2,5,17,1,I-65,,2550,33.45167778,-86.8184,0,99,99,5,28,99,99,0
1,10075,4,101,0,10,2,2015,3,18,0,2,US-SR 3,,1615,32.10455556,-86.40459167,0,99,99,18,15,99,99,1
1,10076,1,97,0,13,2,2015,6,10,9,2,US-SR 17,,267,31.02139444,-88.23171389,0,10,10,10,34,88,88,0
1,10077,1,81,2340,23,2,2015,2,18,43,2,US-SR 1,,0,32.679275,-85.37018056,0,99,99,18,51,88,88,0
1,10078,1,125,3050,24,2,2015,3,15,52,2,US-SR 6,,500,33.2262,-87.53260833,0,99,99,15,59,88,88,0
1,10079,2,73,0,7,3,2015,7,4,45,1,I-20,,1100,33.38663333,-86.98794167,0,5,18,5,41,6,0,1
1,10080,1,101,0,17,2,2015,3,15,25,4,CR-COOSADA FERRY RD,,0,32.4551,-86.29180833,0,99,99,15,30,88,88,1
1,10081,4,33,0,20,2,2015,6,12,0,3,SR-20,US-43,278,34.71134167,-87.66776389,0,99,99,12,8,99,99,1
1,10082,1,3,1210,24,2,2015,3,21,14,6,FOLEY BEACH EXPRESSWAY,,0,30.43372222,-87.6492,0,21,12,21,17,22,17,0
1,10083,4,83,0,1,3,2015,1,3,13,2,US-SR 2,BURGREEN RD,854,34.74899444,-86.79623056,0,99,99,3,18,88,88,2
1,10084,3,125,2260,1,3,2015,1,10,25,2,US-SR 6,BOONE BLVD,427,33.234175,-87.63861667,0,99,99,10,31,99,99,1
1,10085,1,121,0,1,3,2015,1,13,30,3,SR-21,,2464,33.56501111,-85.86320556,0,13,36,13,40,88,88,1
1,10086,4,89,1730,1,3,2015,1,17,58,6,HWY 53,STRINGFIELD RD,0,34.77878611,-86.65703889,0,99,99,18,7,99,99,1
1,10087,2,95,0,3,3,2015,3,12,25,3,SR-79,,819,34.54287222,-86.15238889,0,12,25,12,32,12,50,0
1,10088,1,127,0,3,3,2015,3,19,45,2,US-SR 5,,1622,33.80393333,-87.12784444,0,99,99,20,20,88,88,0
1,10089,1,97,2550,3,3,2015,3,18,56,4,CR-BEARFORK RD,,0,30.74889167,-88.13165833,0,99,99,19,0,99,99,1
1,10090,2,73,350,5,3,2015,5,18,25,6,WOODLAND AVENUE SW,,0,33.49488056,-86.86086944,0,99,99,18,30,88,88,0
1,10091,4,97,2550,3,3,2015,3,10,52,3,SR-WILSON AVE,I-165 SERVICE RD,0,30.73507222,-88.08218056,0,99,99,11,2,99,99,0
1,10092,3,81,2340,8,3,2015,1,19,10,2,US-SR 51,GATEWAY DR,0,32.61657222,-85.37138889,0,19,16,19,19,19,39,0
1,10093,3,73,0,9,3,2015,2,5,55,1,I-20,,1384,33.54760278,-86.62523889,0,5,59,6,4,6,57,0
1,10094,1,53,0,6,3,2015,6,20,25,1,I-65,,694,31.20380833,-87.31095556,0,20,36,20,46,88,88,0
1,10095,15,101,2130,2,3,2015,2,8,7,1,I-65,,1652,32.28422222,-86.34324444,0,8,39,8,46,99,99,0
1,10096,1,47,0,6,3,2015,6,13,45,4,CR-CLARK RD,HWY 41,0,32.27369722,-86.98918611,0,88,88,88,88,88,88,1
1,10097,2,115,160,18,2,2015,4,7,48,3,SR-23,,110,33.8332,-86.261,0,7,58,7,59,88,88,0
1,10098,1,69,930,28,2,2015,7,19,57,6,WESTGATE PKWY,,0,31.25823611,-85.43218611,0,99,99,20,2,88,88,0
1,10099,1,127,0,4,3,2015,4,11,47,4,CR-HILL CHASE RD,,0,33.93647222,-87.28287222,0,99,99,11,53,88,88,0
1,10101,2,59,0,7,3,2015,7,4,0,4,CR-48,,0,34.51690278,-87.65490278,0,99,99,4,15,99,99,1
1,10102,1,101,2130,14,3,2015,7,3,38,1,I-85,,40,32.35867222,-86.24773611,0,3,40,3,50,4,4,1
1,10103,2,125,0,28,2,2015,7,1,40,4,CR-INDIAN CREEK RD,,0,33.06118056,-87.50944444,0,99,99,3,35,99,99,1
1,10104,3,3,2650,5,3,2015,5,15,3,4,CR-83,HWY 90,0,30.56744167,-87.66604722,0,99,99,15,9,99,99,0
1,10105,2,77,1200,6,3,2015,6,99,99,6,HWY 20,,210,34.78616389,-87.69790833,0,4,48,5,0,5,7,1
1,10106,1,23,0,9,3,2015,2,23,5,2,US-SR 12,,170,31.769225,-88.18656944,0,99,99,23,32,88,88,1
1,10107,2,73,0,13,3,2015,6,0,41,2,US-SR 3,,2970,33.82046667,-86.80819444,0,99,99,0,58,99,99,1
1,10108,3,15,2325,13,3,2015,6,19,21,3,SR-77,,889,33.76190556,-86.04343056,0,99,99,19,55,99,99,0
1,10109,3,17,0,14,3,2015,7,10,0,3,SR-1,,1624,32.93260278,-85.39525833,0,99,99,10,10,99,99,0
1,10110,1,37,0,14,3,2015,7,16,40,3,SR-9,,1657,33.09906389,-86.01120278,0,99,99,16,54,88,88,0
